"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-01,"00:00","19.301","28.527","17.64","95.1","7.9","-0.044","7.65","5.06","2.49","10.02","76.45","25.59"
2025-12-01,"00:15","19.304","28.446","17.58","94.3","7.84","-0.061","7.64","5.14","2.47","9.95","76.74","25.69"
2025-12-01,"00:30","19.268","27.559","16.98","93","7.76","-0.077","7.62","4.89","2.43","9.77","78.2","26.18"
2025-12-01,"00:45","19.197","26.894","16.53","92.5","7.75","-0.095","7.59","4.91","2.39","9.63","79.41","26.58"
2025-12-01,"01:00","19.221","27.077","16.66","92.3","7.72","-0.111","7.59","4.76","2.54","10.2","79.26","26.53"
2025-12-01,"01:15","19.26","27.827","17.16","91.5","7.62","-0.124","7.61","4.36","2.57","10.34","76.93","25.75"
2025-12-01,"01:30","19.243","27.349","16.84","88.5","7.39","-0.135","7.58","4.54","2.37","9.53","76.87","25.73"
2025-12-01,"01:45","19.219","26.805","16.47","88.3","7.39","-0.146","7.57","4.41","2.3","9.25","77.63","25.98"
2025-12-01,"02:00","19.213","26.655","16.37","87.2","7.31","-0.153","7.56","4.11","2.61","10.49","77.68","26"
2025-12-01,"02:15","19.208","26.627","16.35","87","7.3","-0.151","7.56","4.05","2.23","8.98","77.47","25.93"
2025-12-01,"02:30","19.15","25.654","15.7","89.2","7.51","-0.135","7.55","4.36","2.39","9.6","81","27.11"
2025-12-01,"02:45","19.053","24.197","14.73","86.7","7.36","-0.119","7.5","4.63","2.39","9.61","83.4","27.91"
2025-12-01,"03:00","18.765","24.482","14.92","85.9","7.32","-0.104","7.5","4.48","2.34","9.4","83.21","27.85"
2025-12-01,"03:15","18.928","24.882","15.19","87.4","7.42","-0.083","7.52","4.71","2.3","9.26","82.49","27.61"
2025-12-01,"03:30","18.766","26.354","16.17","88.9","7.52","-0.056","7.56","4.4","2.18","8.75","80.74","27.03"
2025-12-01,"03:45","18.856","28.169","17.4","90.6","7.6","-0.028","7.6","4.89","2.06","8.27","77.91","26.08"
2025-12-01,"04:00","18.837","28.248","17.45","90.6","7.6","0.006","7.61","4.61","2.09","8.42","77.73","26.02"
2025-12-01,"04:15","18.874","29.148","18.06","91.5","7.65","0.039","7.63","4.63","2.03","8.14","76.18","25.5"
2025-12-01,"04:30","18.913","30.202","18.78","92.1","7.66","0.076","7.65","4.97","2","8.02","74.51","24.94"
2025-12-01,"04:45","18.816","30.448","18.95","91.9","7.64","0.118","7.66","5.86","1.81","7.28","73.69","24.67"
2025-12-01,"05:00","18.725","30.722","19.13","91.4","7.61","0.161","7.66","5.11","1.73","6.97","73.71","24.67"
2025-12-01,"05:15","18.713","31.96","19.98","91.3","7.56","0.204","7.67","6.2","1.72","6.9","71.25","23.85"
2025-12-01,"05:30","18.641","33.378","20.96","88.5","7.3","0.244","7.66","6.74","1.59","6.4","69.29","23.19"
2025-12-01,"05:45","18.602","34.637","21.83","87.8","7.21","0.28","7.68","6.1","1.56","6.27","66.94","22.41"
2025-12-01,"06:00","18.695","36.576","23.18","89.2","7.25","0.313","7.73","7.73","1.5","6.03","61.93","20.74"
2025-12-01,"06:15","18.677","37.582","23.89","90.1","7.3","0.338","7.77","7.08","1.41","5.65","59.26","19.84"
2025-12-01,"06:30","18.67","38.715","24.69","91.7","7.39","0.363","7.8","7.04","1.36","5.46","56.48","18.92"
2025-12-01,"06:45","18.683","39.559","25.28","93.3","7.49","0.383","7.84","6.77","1.28","5.13","53.57","17.94"
2025-12-01,"07:00","18.689","40.533","25.97","94.5","7.56","0.397","7.87","7.02","1.24","4.99","50.74","17"
2025-12-01,"07:15","18.669","41.145","26.41","94.5","7.54","0.412","7.88","6.63","1.23","4.94","49.24","16.49"
