"component_long","mdl_min","mdl_max"
"2,4,5-t","0.0040","0.0040"
"2,4-d","0.0020","0.0020"
"acesulfame k","0.10","0.10"
"acetaminophen","0.0080","0.0080"
"acetamiprid","0.0020","0.0020"
"afidopyropen","0.0020","0.0020"
"ammonia-n","0.0020","0.0020"
"ampa","0.10","0.50"
"bentazon","8.0E-04","8.0E-04"
"benzovindiflupyr","0.0020","0.0020"
"carbamazepine","8.0E-04","8.0E-04"
"chlorophyll-a, corrected","0.52","1.0"
"chlorophyll-a, uncorrected","0.31","0.61"
"clothianidin","0.0020","0.0020"
"color (true)","2.0","2.0"
"dinotefuran","0.0020","0.0020"
"diuron","0.0020","0.0020"
"endothall","0.25","0.25"
"enterococci-quanti-tray","10","10"
"fecal coliforms-membrane filter","3","3"
"fenuron","0.032","0.032"
"fluridone","8.0E-04","8.0E-04"
"glufosinate","0.10","0.50"
"glyphosate","0.10","0.50"
"hydrocodone","0.0040","0.0040"
"ibuprofen","0.080","0.080"
"imazapyr","0.0040","0.0040"
"imidacloprid","0.0020","0.0020"
"kjeldahl nitrogen","0.16","0.16"
"kjeldahl nitrogen, dissolved","0.16","0.16"
"linuron","0.0020","0.0020"
"mandestrobin","0.0020","0.0020"
"mcpp","0.0020","0.0020"
"naproxen","0.0080","0.0080"
"no2no3-n","0.0030","0.0030"
"o-phosphate-p","0.0040","0.0040"
"organic carbon","1.0","2.0"
"phaeophytin-a","0.63","1.3"
"primidone","0.0040","0.0040"
"pyraclostrobin","0.0020","0.0020"
"silvex","0.0040","0.0040"
"sucralose","0.010","0.010"
"thiamethoxam","0.0020","0.0020"
"tolfenpyrad","0.0020","0.0020"
"total alkalinity","0.65","0.65"
"total-p","0.0040","0.0040"
"total-p, dissolved","0.0040","0.0040"
"triclopyr","0.0040","0.0040"
"tss","3.0","3.0"
